protease,uniprot_id,seq_len
C01.009,A8MUU1,101
C01.009,P01034,146
C01.009,P05387,115
C01.009,P06454,111
C01.009,P07737,140
C01.009,P08708,135
C01.009,P09382,135
C01.009,P12074,109
C01.009,P14927,111
C01.009,P15531,152
C01.009,P17096,107
C01.009,P22392,152
C01.009,P25398,132
C01.009,P39019,145
C01.009,P46776,148
C01.009,P46779,137
C01.009,P49773,126
C01.009,P53999,127
C01.009,P60660,151
C01.009,P61088,152
C01.009,P61326,146
C01.009,P61353,136
C01.009,P61916,151
C01.009,P62263,151
C01.009,P62269,152
C01.009,P62277,151
C01.009,P62316,118
C01.009,P62318,126
C01.009,P62750,156
C01.009,P62829,140
C01.009,P62847,133
C01.009,P62851,125
C01.009,P62888,115
C01.009,P62979,156
C01.009,P63279,158
C01.009,P68106,108
C01.009,Q14019,142
C01.009,Q15121,130
C01.009,Q15369,112
C01.009,Q15836,100
C01.009,Q6IS14,154
C01.009,Q6NXT2,135
C01.009,Q71UI9,128
C01.009,Q96K17,158
C01.009,Q99878,128
C01.009,Q99879,126
C01.009,Q9UK76,154
