protease,uniprot_id,seq_len
A01.009,O00585,134
A01.009,O08997,68
A01.009,O54962,89
A01.009,O70591,154
A01.009,O89086,153
A01.009,P01034,146
A01.009,P01317,105
A01.009,P01887,119
A01.009,P01966,142
A01.009,P02070,145
A01.009,P02301,136
A01.009,P02818,100
A01.009,P03968,155
A01.009,P03969,155
A01.009,P07091,101
A01.009,P08611,12
A01.009,P0C0S6,128
A01.009,P14069,89
A01.009,P15532,152
A01.009,P20366,129
A01.009,P27661,143
A01.009,P31725,113
A01.009,P34884,115
A01.009,P37840,140
A01.009,P48428,108
A01.009,P50543,98
A01.009,P62075,95
A01.009,P62264,151
A01.009,P62315,119
A01.009,P62774,118
A01.009,P62806,103
A01.009,P62830,140
A01.009,P62843,145
A01.009,P62876,67
A01.009,P62889,115
A01.009,P62897,105
A01.009,P62934,11
A01.009,P62962,140
A01.009,P63242,154
A01.009,P63276,135
A01.009,P68082,154
A01.009,P68433,136
A01.009,P68871,147
A01.009,P69905,142
A01.009,P70349,126
A01.009,P78556,96
A01.009,P81605,110
A01.009,P84228,136
A01.009,P84244,136
A01.009,P97352,98
A01.009,P99027,115
A01.009,Q01768,152
A01.009,Q03958,127
A01.009,Q3THW5,128
A01.009,Q3U1Z5,159
A01.009,Q4KML4,81
A01.009,Q62084,147
A01.009,Q62426,98
A01.009,Q64522,130
A01.009,Q64523,129
A01.009,Q6GSS7,130
A01.009,Q6ZWV7,123
A01.009,Q8BFU2,130
A01.009,Q8BGS2,86
A01.009,Q8CGP5,130
A01.009,Q8CGP6,128
A01.009,Q8CGP7,130
A01.009,Q8R1M2,129
A01.009,Q91XC8,102
A01.009,Q923D4,86
A01.009,Q9CQ92,152
A01.009,Q9CQI3,142
A01.009,Q9CZX8,145
A01.009,Q9D358,158
A01.009,Q9D7A6,144
A01.009,Q9D898,153
A01.009,Q9DCG9,125
A01.009,Q9JJU8,114
A01.009,Q9JKP7,145
A01.009,Q9WU28,154
A01.009,Q9WVA2,97
