protease,uniprot_id,seq_len
M10.005,O00422,153
M10.005,O14737,125
M10.005,O15511,151
M10.005,O60869,148
M10.005,O75347,108
M10.005,O75348,118
M10.005,P00441,154
M10.005,P01317,105
M10.005,P05114,100
M10.005,P05386,114
M10.005,P05387,115
M10.005,P06899,126
M10.005,P07737,140
M10.005,P08708,135
M10.005,P09132,144
M10.005,P09234,159
M10.005,P09382,135
M10.005,P0C0S8,130
M10.005,P0DJI8,122
M10.005,P0DJI9,122
M10.005,P13500,99
M10.005,P15531,152
M10.005,P16949,149
M10.005,P18077,110
M10.005,P20366,129
M10.005,P22392,152
M10.005,P25398,132
M10.005,P26885,142
M10.005,P32320,146
M10.005,P37840,140
M10.005,P39019,145
M10.005,P46779,137
M10.005,P47914,159
M10.005,P49459,152
M10.005,P49773,126
M10.005,P53999,127
M10.005,P60660,151
M10.005,P60983,142
M10.005,P61077,147
M10.005,P61088,152
M10.005,P61254,145
M10.005,P61353,136
M10.005,P61956,95
M10.005,P62249,146
M10.005,P62263,151
M10.005,P62277,151
M10.005,P62280,158
M10.005,P62310,102
M10.005,P62316,118
M10.005,P62318,126
M10.005,P62750,156
M10.005,P62829,140
M10.005,P62837,147
M10.005,P62841,145
M10.005,P62847,133
M10.005,P62851,125
M10.005,P62888,115
M10.005,P62899,125
M10.005,P62910,135
M10.005,P62979,156
M10.005,P63241,154
M10.005,P63279,158
M10.005,P68036,154
M10.005,P80075,99
M10.005,P80098,99
M10.005,P83731,157
M10.005,Q13404,147
M10.005,Q14019,142
M10.005,Q15121,130
M10.005,Q15370,118
M10.005,Q15819,145
M10.005,Q16778,126
M10.005,Q7Z422,152
M10.005,Q8WVJ2,157
M10.005,Q93077,130
M10.005,Q969Q0,106
M10.005,Q96C01,138
M10.005,Q96C90,147
M10.005,Q99471,154
M10.005,Q99616,98
M10.005,Q9NPJ3,140
M10.005,Q9NX14,153
M10.005,Q9P0P0,153
M10.005,Q9UHV9,154
M10.005,Q9UK76,154
M10.005,Q9Y3U8,105
M10.005,Q9Y4Z0,139
M10.005,Q9Y530,152
M10.005,Q9Y6H1,151
