protease,uniprot_id,seq_len
C01.032,O15511,151
C01.032,O43169,150
C01.032,O43768,121
C01.032,O43924,150
C01.032,O75368,114
C01.032,P00441,154
C01.032,P01034,146
C01.032,P01317,105
C01.032,P02818,100
C01.032,P03973,132
C01.032,P04080,98
C01.032,P05386,114
C01.032,P05387,115
C01.032,P07737,140
C01.032,P08708,135
C01.032,P09382,135
C01.032,P0C0S5,128
C01.032,P0DJI8,122
C01.032,P10145,99
C01.032,P12074,109
C01.032,P14174,115
C01.032,P15531,152
C01.032,P16949,149
C01.032,P17096,107
C01.032,P18077,110
C01.032,P19957,117
C01.032,P22392,152
C01.032,P25398,132
C01.032,P37108,136
C01.032,P39019,145
C01.032,P41567,113
C01.032,P46779,137
C01.032,P47914,159
C01.032,P49773,126
C01.032,P53803,58
C01.032,P53999,127
C01.032,P55769,128
C01.032,P60660,151
C01.032,P60866,119
C01.032,P60903,97
C01.032,P61088,152
C01.032,P61353,136
C01.032,P61604,102
C01.032,P61970,127
C01.032,P62244,130
C01.032,P62263,151
C01.032,P62269,152
C01.032,P62277,151
C01.032,P62280,158
C01.032,P62306,86
C01.032,P62314,119
C01.032,P62750,156
C01.032,P62829,140
C01.032,P62847,133
C01.032,P62854,115
C01.032,P62857,69
C01.032,P62861,133
C01.032,P62888,115
C01.032,P62899,125
C01.032,P62942,108
C01.032,P62979,156
C01.032,P63241,154
C01.032,P63279,158
C01.032,P68036,154
C01.032,P68433,136
C01.032,P84090,104
C01.032,P84243,136
C01.032,P98179,157
C01.032,Q01469,135
C01.032,Q14019,142
C01.032,Q15369,112
C01.032,Q15836,100
C01.032,Q5JTJ3,125
C01.032,Q6FIE5,125
C01.032,Q71UI9,128
C01.032,Q8IUE6,130
C01.032,Q8N111,149
C01.032,Q8WVJ2,157
C01.032,Q969Q0,106
C01.032,Q96K17,158
C01.032,Q99878,128
C01.032,Q99879,126
C01.032,Q9BV40,100
C01.032,Q9BXV9,100
C01.032,Q9GZT3,109
C01.032,Q9GZV4,153
C01.032,Q9UHV9,154
C01.032,Q9Y5L4,95
